Canción,Intérprete(s),Fecha,Semanas en el top,Idioma,Tipo intérprete (H/M/grupo/colaboración),Estilo
Hips Don't Lie,Shakira con Wyclef Jean,29/07/2006,1,en,Colaboración,Pop latino
One,Mary J. Blige con U2,5/08/2006,1,en,Colaboración,R&B
Resurrección,Amaral,12/08/2006,1,es,Mujer,Pop Rock
Satellites,September,19/08/2006,1,en,Grupo,dance
Resurrección,Amaral,26/08/2006,1,es,Mujer,Pop Rock
Besos,El Canto del Loco,2/09/2006,1,es,Grupo,Pop
Malabares,Estopa,9/09/2006,1,es,Grupo,Rumba
Nothing Else Matters,Lucie Silvas,16/09/2006,1,en,Mujer,pop
Labios compartidos,Maná,23/09/2006,3,es,Grupo,Pop rock
Dulce locura,La Oreja de Van Gogh,14/10/2006,1,es,Grupo,Pop
En qué estrella estará,Nena Daconte,21/10/2006,2,es,Grupo,pop
Labios compartidos,Maná,4/11/2006,1,es,Grupo,Pop rock
Let Me Out,Dover,11/11/2006,2,en,Grupo,Rock
Por la boca vive el pez,Fito & Fitipaldis,25/11/2006,1,es,Grupo,Rock
Te busqué,Nelly Furtado con Juanes,2/12/2006,1,en,Colaboración,Pop latino
Let Me Out,Dover,9/12/2006,1,en,Grupo,Rock
En qué estrella estará,Nena Daconte,16/12/2006,2,es,Grupo,pop
La pared,Shakira,30/12/2006,2,es,Mujer,Pop latino
En qué estrella estará,Nena Daconte,13/01/2007,1,es,Grupo,pop
Silencio,David Bisbal,20/01/2007,2,es,Hombre,Pop latino
Lucky,Lucky Twice,3/02/2007,1,en,Grupo,Suecia
Te entiendo,Pignoise,10/02/2007,1,es,Grupo,Pop rock
Silencio,David Bisbal,17/02/2007,1,es,Hombre,Pop latino
"Te lo agradezco, pero no",Alejandro Sanz con Shakira,24/02/2007,1,es,Colaboración,Pop latino
Patience,Take That,3/03/2007,2,en,Grupo,pop
Las de la intuición,Shakira,17/03/2007,4,es,Mujer,Pop latino
En mi lado del sofá,La Oreja de Van Gogh,14/04/2007,1,es,Grupo,Pop
Do Ya,Dover,21/04/2007,2,en,Grupo,Rock
Te entiendo,Pignoise,5/05/2007,1,es,Grupo,Pop rock
Manda una señal,Maná,12/05/2007,1,es,Grupo,Pop rock
Me muero,La Quinta Estación,19/05/2007,2,es,Grupo,Pop
Las de la intuición,Shakira,2/06/2007,3,es,Mujer,Pop latino
Unwritten,Natasha Bedingfield,23/06/2007,1,en,Mujer,R&B
How to Save a Life,The Fray,30/06/2007,2,en,Hombre,Pop-rock
All good things (Come to an end),Nelly Furtado,14/07/2007,2,en,Mujer,R&B
Chasing Cars,Snow Patrol,28/07/2007,1,en,Grupo,pop
Grace Kelly,Mika,4/08/2007,1,en,Hombre,pop
Las de la intuición,Shakira,11/08/2007,1,es,Mujer,Pop latino
All Good Things (Come to an End),Nelly Furtado,18/08/2007,1,en,Mujer,R&B
Calle La Pantomima,Melendi,25/08/2007,2,es,Hombre,Rumba
All Good Things (Come to an End),Nelly Furtado,8/09/2007,1,en,Mujer,R&B
When the Stars Go Blue,The Corrs con Bono,15/09/2007,1,en,Colaboración,rock
Umbrella,Rihanna,22/09/2007,4,en,Mujer,R&B
Monsoon,Tokio Hotel,20/10/2007,2,en,Grupo,Pop-rock
Nada que perder,Conchita,3/11/2007,1,es,Mujer,pop
Umbrella,Rihanna,10/11/2007,1,en,Mujer,R&B
Me enamora,Juanes,17/11/2007,3,es,Hombre,pop latino
Todo irá bien,Chenoa,8/12/2007,1,es,Mujer,pop
Ojalá pudiera borrarte,Maná,15/12/2007,1,es,Grupo,rock
Me enamora,Juanes,22/12/2007,2,es,Hombre,pop latino
No One,Alicia Keys,5/01/2008,2,en,Mujer,R&B
Sueños rotos,La Quinta Estación,19/01/2008,2,es,Grupo,Pop
Papeles mojados,Chambao,2/02/2008,1,es,Mujer,Rumba
Estrella polar,Pereza,9/02/2008,1,es,Grupo,pop
Don't Stop the Music,Rihanna,16/02/2008,2,en,Mujer,R&B
Cuando me vaya,Melocos con Natalia Jiménez,1/03/2008,1,es,Colaboración,pop
Say It Right,Nelly Furtado,8/03/2008,2,en,Mujer,R&B
Don't Stop the Music,Rihanna,22/03/2008,1,en,Mujer,R&B
Rehab,Amy Winehouse,29/03/2008,2,en,Mujer,R&B
Como un lobo,Miguel Bosé con Bimba Bosé,12/04/2008,1,es,Colaboración,pop
¡Eres tonto!,El Canto del Loco,19/04/2008,2,es,Grupo,Pop
Cuando amanece,Estopa,3/05/2008,1,es,Grupo,Rumba
¡Eres tonto!,El Canto del Loco,10/05/2008,1,es,Grupo,Pop
Apologize,OneRepublic con Timbaland,17/05/2008,2,en,Grupo,pop-rock
¡Eres tonto!,El Canto del Loco,31/05/2008,1,es,Grupo,Pop
Kamikaze,Amaral,7/06/2008,2,es,Mujer,pop-rock
Gotas de agua dulce,Juanes,21/06/2008,1,es,Hombre,pop latino
Kamikaze,Amaral,28/06/2008,1,es,Mujer,pop-rock
Bleeding Love,Leona Lewis,5/07/2008,1,en,Mujer,pop
Beautiful Girls,Sean Kingston,12/07/2008,1,en,Hombre,hip hop
Mercy,Duffy,19/07/2008,1,en,Mujer,pop-rock
Beautiful Girls,Sean Kingston,26/07/2008,1,en,Hombre,hip hop
Ella Elle l'a,Kate Ryan,2/08/2008,3,fr,Mujer,dance
Mercy,Duffy,23/08/2008,1,en,Mujer,pop-rock
Ella Elle l'a,Kate Ryan,30/08/2008,2,fr,Mujer,dance
Rise Up,Yves Larock con Jaba,13/09/2008,1,en,Colaboración,house
El último vals,La Oreja de Van Gogh,20/09/2008,1,es,Grupo,Pop
No dudaría,Rosario,27/09/2008,1,es,Mujer,flanenco
Pretendo hablarte,Beatriz Luengo,4/10/2008,1,es,Mujer,pop
El último vals,La Oreja de Van Gogh,11/10/2008,1,es,Grupo,Pop
Un violinista en tu tejado,Melendi,18/10/2008,3,es,Hombre,Rumba
Tenía tanto que darte,Nena Daconte,8/11/2008,2,es,Grupo,pop
Peter Pan,El Canto del Loco,22/11/2008,1,es,Grupo,Pop
I Kissed a Girl,Katy Perry,29/11/2008,2,en,Mujer,pop
Viva la Vida,Coldplay,13/12/2008,2,en,Hombre,Pop-rock
Quiero ser,Amaia Montero,27/12/2008,2,es,Mujer,Pop
If I Were a Boy,Beyoncé,10/01/2009,1,en,Mujer,R&B
Quiero ser,Amaia Montero,17/01/2009,1,es,Mujer,Pop
Hemicraneal,Estopa,24/01/2009,2,es,Grupo,Rumba
Beggin',Madcon,7/02/2009,2,en,Grupo,hip hop
Peter Pan,El Canto del Loco,21/02/2009,1,es,Grupo,Pop
Disturbia,Rihanna,28/02/2009,2,en,Mujer,R&B
Colgando en tus manos,Carlos Baute con Marta Sánchez,14/03/2009,3,es,Colaboración,pop latino
Que te quería,La Quinta Estación,4/04/2009,1,es,Grupo,Pop
Colgando en tus manos,Carlos Baute con Marta Sánchez,11/04/2009,1,es,Colaboración,pop latino
This is the Life,Amy Macdonald,18/04/2009,1,en,Mujer,pop-rock
The Boy Does Nothing,Alesha Dixon,25/04/2009,1,en,Mujer,R&B
Colgando en tus manos,Carlos Baute con Marta Sánchez,2/05/2009,1,es,Colaboración,pop latino
Just Dance,Lady Gaga,9/05/2009,1,en,Mujer,Dance
This is the Life,Amy Macdonald,16/05/2009,1,en,Mujer,pop-rock
Human,The Killers,23/05/2009,1,en,Grupo,rock
Infinity 2008,Guru Josh Project,30/05/2009,2,en,Grupo,house
Hot N Cold,Katy Perry,13/06/2009,1,en,Mujer,pop
Estoy enfermo,Pignoise con Melendi,20/06/2009,1,es,Colaboración,Rumba
Colgando en tus manos,Carlos Baute con Marta Sánchez,27/06/2009,2,es,Colaboración,pop latino
Hot N Cold,Katy Perry,11/07/2009,1,en,Mujer,pop
I'm Yours,Jason Mraz,18/07/2009,2,en,Hombre,pop
Poker Face,Lady Gaga,1/08/2009,1,en,Mujer,Dance
Moving,Macaco,8/08/2009,2,es,Hombre,pop
Halo,Beyoncé,22/08/2009,1,en,Mujer,R&B
Summercat,Billie the vision and the dancers,29/08/2009,2,en,Grupo,indie
When Love Takes Over,David Guetta con Kelly Rowland,12/09/2009,1,en,Grupo,house
I Gotta Feeling,The Black Eyed Peas,19/09/2009,2,en,Grupo,hip hop
Por quererte,Efecto Mariposa,3/10/2009,1,es,Grupo,pop
I Gotta Feeling,The Black Eyed Peas,10/10/2009,2,en,Grupo,hip hop
Manos al aire,Nelly Furtado,24/10/2009,2,es,Mujer,R&B
Antes de que cuente diez,Fito & Fitipaldis,7/11/2009,2,es,Grupo,Rock
Looking for Paradise,Alejandro Sanz con Alicia Keys,21/11/2009,2,en,Colaboración,Pop latino
Ayo Technology,Milow,5/12/2009,2,en,Hombre,Pop
Esclavo de sus besos,David Bisbal,19/12/2009,1,es,Hombre,Pop latino
Ayo Technology,Milow,26/12/2009,1,en,Hombre,Pop
Happy,Leona Lewis,2/01/2010,2,en,Mujer,pop
Russian Roulette,Rihanna,16/01/2010,2,en,Mujer,R&B
Que nadie,Manuel Carrasco con Malú,30/01/2010,2,es,Colaboración,Balada
Bad Romance,Lady Gaga,13/02/2010,3,en,Mujer,Dance
Desde cuándo,Alejandro Sanz,6/03/2010,1,es,Hombre,Pop Latino
Quiero aprender de ti,El Canto del Loco,13/03/2010,1,es,Grupo,Pop
El run run,Estopa con Rosario,20/03/2010,2,es,Colaboración,Rumba
Tik Tok,Ke$ha,3/04/2010,2,en,Mujer,dance
Meet Me Halfway,The Black Eyed Peas,17/04/2010,3,en,Grupo,Dance pop
Stereo Love,Edward Maya con Vika Jigulina,8/05/2010,2,en,Colaboración,dance
Cosas que suenan a...,Maldita Nerea,22/05/2010,1,es,Grupo,Pop rock
Sexy Bitch,David Guetta con Akon,29/05/2010,2,en,Colaboración,House
Sick Of Love,Robert Ramírez,12/06/2010,2,en,Hombre,dance
Telephone,Lady Gaga con Beyoncé,26/06/2010,1,en,Colaboración,Dance
Waka Waka (Esto es África),Shakira con Freshlyground,3/07/2010,2,es,Colaboración,Pop latino
Wavin' Flag,K'naan con David Bisbal,17/07/2010,2,en,Colaboración,hip hop
Waka Waka (Esto es África),Shakira con Freshlyground,31/07/2010,4,es,Colaboración,Pop latino
Alejandro,Lady Gaga,28/08/2010,1,en,Mujer,Dance
Break Your Heart,Taio Cruz,4/09/2010,1,en,Hombre,Hip hop
Alejandro,Lady Gaga,11/09/2010,2,en,Mujer,Dance
Club Can't Handle Me,Flo Rida con David Guetta,25/09/2010,1,en,Colaboración,House
El secreto de las tortugas,Maldita Nerea,2/10/2010,3,es,Grupo,Pop rock
Love the Way You Lie,Eminem con Rihanna,23/10/2010,3,en,Colaboración,R&B
Only Girl (In the World),Rihanna,13/11/2010,3,en,Mujer,R&B
Loca,Shakira con El Cata,4/12/2010,2,es,Colaboración,Pop latino
Cry Cry,Oceana,18/12/2010,1,en,Mujer,Reggae
Loca,Shakira con El Cata,25/12/2010,2,es,Colaboración,Pop latino
Barbie de extrarradio,Melendi,8/01/2011,1,es,Hombre,Rumba
Love the Way You Lie,Eminem con Rihanna,15/01/2011,1,en,Colaboración,R&B
The Time (Dirty Bit),The Black Eyed Peas,22/01/2011,2,en,Grupo,Dance pop
Hold My Hand,Michael Jackson con Akon,5/02/2011,2,en,Colaboración,R&B
Who's That Chick?,David Guetta con Rihanna,19/02/2011,1,en,Colaboración,House
Tonight (I'm Lovin' You),Enrique Iglesias con Ludacris y DJ Frank E,26/02/2011,2,en,Colaboración,Dance
Tu mirada me hace grande,Maldita Nerea,12/03/2011,1,es,Grupo,Pop rock
Tonight (I'm Lovin' You),Enrique Iglesias con Ludacris y DJ Frank E,19/03/2011,1,en,Colaboración,Dance
Blanco y negro,Malú,26/03/2011,2,es,Mujer,balada
Born This Way,Lady Gaga,9/04/2011,2,en,Mujer,Dance
On the Floor,Jennifer Lopez con Pitbull,23/04/2011,2,en,Colaboración,Rreggaeton
Lead The Way,Carlos Jean con Electric Nana,7/05/2011,1,en,Colaboración,dance
Mr. Saxobeat,Alexandra Stan,14/05/2011,1,en,Hombre,dance
S&M,Rihanna,21/05/2011,2,en,Mujer,R&B
On the Floor,Jennifer Lopez con Pitbull,4/06/2011,3,en,Colaboración,Rreggaeton
Give Me Everything,"Pitbull con Ne-Yo, Afrojack y Nayer",25/06/2011,3,en,Colaboración,Rreggaeton
Party Rock Anthem,LMFAO con Lauren Bennett y GoonRock,16/07/2011,1,en,Colaboración,dance
Give Me Everything,"Pitbull con Ne-Yo, Afrojack y Nayer",23/07/2011,1,en,Colaboración,Rreggaeton
Party Rock Anthem,LMFAO con Lauren Bennett y GoonRock,30/07/2011,1,en,Colaboración,dance
Where Them Girls At,David Guetta con Flo Rida y Nicki Minaj,6/08/2011,1,en,Colaboración,House
Give Me Everything,"Pitbull con Ne-Yo, Afrojack y Nayer",13/08/2011,2,en,Colaboración,Rreggaeton
Till the World Ends,Britney Spears,27/08/2011,1,en,Mujer,Pop
Bailando por ahí,Juan Magán,3/09/2011,1,es,Hombre,Reggaeton
Gimme The Base (DJ),Carlos Jean con M-AND-Y,10/09/2011,1,en,Colaboración,dance
Danza kuduro,Don Omar con Lucenzo,17/09/2011,1,es,Colaboración,Reggaeton
Bailando por ahí,Juan Magán,24/09/2011,1,es,Hombre,Reggaeton
La niña que llora en tus fiestas,La Oreja de Van Gogh,1/10/2011,2,es,Grupo,Pop
Moves Like Jagger,Maroon 5 con Christina Aguilera,15/10/2011,2,en,Colaboración,R&B
Rain Over Me,Pitbull con Marc Anthony,29/10/2011,1,en,Colaboración,Rreggaeton
Moves Like Jagger,Maroon 5 con Christina Aguilera,5/11/2011,1,en,Colaboración,R&B
I Wanna Go,Britney Spears,12/11/2011,1,en,Mujer,Pop
¿No podíamos ser agua?,Maldita Nerea,19/11/2011,1,es,Mujer,Pop rock
We Found Love,Rihanna con Calvin Harris,26/11/2011,2,en,Colaboración,House
Moves Like Jagger,Maroon 5 con Christina Aguilera,10/12/2011,1,en,Colaboración,R&B
Titanium,David Guetta con Sia,17/12/2011,2,en,Colaboración,House
Someone Like You,Adele,31/12/2011,3,en,Mujer,Soul
Ai se eu te pego!,Michel Teló,21/01/2012,1,pt,Hombre,sertanejo
Someone Like You,Adele,28/01/2012,1,en,Mujer,Soul
Got 2 Luv U,Sean Paul con Alexis Jordan,4/02/2012,1,en,Colaboración,electro
Someone Like You,Adele,11/02/2012,1,en,Mujer,Soul
Cometas por el cielo,La Oreja de Van Gogh,18/02/2012,1,es,Grupo,Pop
Good Feeling,Flo Rida,25/02/2012,1,en,Grupo,Hip hop
Stereo Hearts,Gym Class Heroes con Adam Levine,3/03/2012,2,en,Colaboración,hip hop
Hangover,Taio Cruz con Flo Rida,17/03/2012,1,en,Colaboración,Hip hop
International Love,Pitbull con Chris Brown,24/03/2012,2,en,Colaboración,Rreggaeton
Someone Like You,Adele,7/04/2012,1,en,Mujer,Soul
Yo te esperaré,Cali & el Dandee,14/04/2012,3,es,Grupo,Reggaeton
Te he echado de menos,Pablo Alborán,5/05/2012,2,es,Hombre,Pop
Stronger (What Doesn't Kill You),Kelly Clarkson,19/05/2012,1,en,Mujer,pop
Yo te esperaré,Cali & el Dandee,26/05/2012,1,es,Grupo,Reggaeton
Boys Will Be Boys,Paulina Rubio,2/06/2012,1,en,Mujer,pop latino
Te he echado de menos,Pablo Alborán,9/06/2012,1,es,Hombre,Pop
Somebody That I Used To Know,Gotye con Kimbra,16/06/2012,2,en,Colaboración,indie
Euphoria,Loreen,30/06/2012,1,en,Mujer,dance
No hay 2 sin 3 (Gol),Cali & el Dandee con David Bisbal,7/07/2012,1,es,Colaboración,Reggaeton
Call Me Maybe,Carly Rae Jepsen,14/07/2012,1,en,Mujer,Pop
Euphoria,Loreen,21/07/2012,1,en,Mujer,dance
Payphone,Maroon 5,28/07/2012,1,en,Grupo,pop-rock
Dance Again,Jennifer Lopez con Pitbull,4/08/2012,1,en,Colaboración,Rreggaeton
Tacata',Tacabro,11/08/2012,1,es,Hombre,Reggaeton
Rayos de sol,José de Rico con Henry Méndez,18/08/2012,1,en,Colaboración,reggaeton
Call Me Maybe,Carly Rae Jepsen,25/08/2012,1,en,Mujer,Pop
We Are Young,Fun. con Janelle Monáe,1/09/2012,1,en,Colaboración,indie
Drive By,Train,8/09/2012,1,en,Grupo,rock
Whistle,Flo Rida,15/09/2012,1,en,Grupo,Hip hop
Pan y mantequilla,Efecto Pasillo,22/09/2012,1,es,Grupo,rumba
Call Me Maybe,Carly Rae Jepsen,29/09/2012,1,en,Mujer,Pop
Whistle,Flo Rida,6/10/2012,1,en,Grupo,Hip hop
Te voy a esperar,Juan Magán con Belinda,13/10/2012,2,es,Colaboración,Reggaeton
Se vende,Alejandro Sanz,27/10/2012,1,es,Hombre,Pop Latino
Tanto,Pablo Alborán,3/11/2012,2,es,Hombre,Pop
Set Fire to the Rain,Adele,17/11/2012,1,en,Mujer,Soul
Tanto,Pablo Alborán,24/11/2012,1,es,Hombre,Pop
Set Fire to the Rain,Adele,1/12/2012,1,en,Mujer,Soul
Diamonds,Rihanna,8/12/2012,2,en,Mujer,R&B
This Is Love,will.i.am con Eva Simons,22/12/2012,1,en,Colaboración,dance
Gangnam Style,PSY,ko,2,ko,Hombre,dance
We Are Never Ever Getting Back Together,Taylor Swift,12/01/2013,1,en,Mujer,Pop
Girl On Fire,Alicia Keys,19/01/2013,1,en,Mujer,R&B
Mi marciana,Alejandro Sanz,26/01/2013,1,es,Hombre,Pop Latino
Locked Out of Heaven,Bruno Mars,2/02/2013,2,en,Hombre,        R&B
Don't You Worry Child,Swedish House Mafia con John Martin,16/02/2013,1,en,Colaboración,house
Lágrimas desordenadas,Melendi,23/02/2013,1,es,Hombre,Rumba
Scream & Shout,will.i.am con Britney Spears,2/03/2013,2,en,Colaboración,dance
Locked Out of Heaven,Bruno Mars,16/03/2013,1,en,Hombre,        R&B
Try,Pink,23/03/2013,1,en,Mujer,Pop 
Hall of Fame,The Script con will.i.am,30/03/2013,1,en,Colaboración,dance
Feel This Moment,Pitbull con Christina Aguilera,6/04/2013,2,en,Colaboración,Rreggaeton
No importa que llueva,Efecto Pasillo,20/04/2013,1,es,Grupo,rumba
Ho Hey,The Lumineers,27/04/2013,1,en,Grupo,Indie folk
Feel This Moment,Pitbull con Christina Aguilera,4/05/2013,1,en,Colaboración,Rreggaeton
Tu jardín con enanitos,Melendi,11/05/2013,1,es,Hombre,Rumba
Impossible,James Arthur,18/05/2013,1,en,Hombre,R&B
Tu jardín con enanitos,Melendi,25/05/2013,1,es,Hombre,Rumba
Heartbreaker,Auryn,1/06/2013,1,en,Grupo,Pop
Impossible,James Arthur,8/06/2013,1,en,Hombre,R&B
Thrift Shop,Macklemore & Ryan Lewis con Wanz,15/06/2013,1,en,Colaboración,Hip hop
Get Lucky,Daft Punk con Pharrell Williams y Nile Rodgers,22/06/2013,2,en,Colaboración,Disco
I Could Be the One,Avicii con Nicky Romero,6/07/2013,1,en,Colaboración,House
Let Her Go,Passenger,13/07/2013,2,en,Hombre,Folk
More Than Friends,Inna con Daddy Yankee,27/07/2013,1,en,Colaboración,reggaeton
Cero,Dani Martín,3/08/2013,1,es,Hombre,pop
Blurred Lines,Robin Thicke con T.I. y Pharrell Williams,10/08/2013,2,en,Colaboración,Reggaeton
I Love It,Icona Pop con Charli XCX,24/08/2013,1,en,Colaboración,dance
Blurred Lines,Robin Thicke con T.I. y Pharrell Williams,31/08/2013,1,en,Colaboración,Reggaeton
Wake Me Up!,Avicii,7/09/2013,3,en,Hombre,House
La La La,Naughty Boy con Sam Smith,28/09/2013,1,en,Colaboración,pop
We Can't Stop,Miley Cyrus,5/10/2013,1,en,Mujer,Teen pop
Can't Hold Us,Macklemore & Ryan Lewis con Ray Dalton,12/10/2013,1,en,Colaboración,Hip hop
Love Me Again,John Newman,19/10/2013,1,en,Hombre,soul
Roar,Katy Perry,26/10/2013,1,en,Mujer,pop
Love Me Again,John Newman,2/11/2013,1,en,Hombre,soul
Wrecking Ball,Miley Cyrus,9/11/2013,2,en,Mujer,Teen pop
Burn,Ellie Goulding,23/11/2013,1,en,Mujer,Indie
Counting Stars,OneRepublic,30/11/2013,1,en,Grupo,pop-rock
Wrecking Ball,Miley Cyrus,7/12/2013,2,en,Mujer,Teen pop
Story of My Life,One Direction,21/12/2013,1,en,Grupo,Pop
Timber,Pitbull con Ke$ha,28/12/2013,1,en,Colaboración,Rreggaeton
A prueba de ti,Malú,4/01/2014,1,es,Mujer,balada
Timber,Pitbull con Ke$ha,11/01/2014,1,en,Colaboración,Rreggaeton
The Monster,Eminem con Rihanna,18/01/2014,1,en,Colaboración,R&B
Talk Dirty,Jason Derülo con 2 Chainz,25/01/2014,1,en,Colaboración,R&B
Hey Brother,Avicii,1/02/2014,2,en,Hombre,House
Llegará,Antonio Orozco,15/02/2014,1,es,Hombre,Balada
Royals,Lorde,22/02/2014,1,en,Mujer,Pop
Happy,Pharrell Williams,1/03/2014,3,en,Hombre,Reggaeton
Can't Remember to Forget You,Shakira con Rihanna,22/03/2014,1,en,Colaboración,R&B
Diez mil maneras,David Bisbal,29/03/2014,1,es,Hombre,Pop latino
Happy,Pharrell Williams,5/04/2014,1,en,Hombre,Reggaeton
Terriblemente cruel,Leiva,12/04/2014,1,es,Hombre,Pop
Dark Horse,Katy Perry con Juicy J,19/04/2014,1,en,Colaboración,pop
Wings,Birdy,26/04/2014,1,en,Mujer,Folk
Dark Horse,Katy Perry con Juicy J,3/05/2014,1,en,Colaboración,pop
Changes,FAUL & Wad Ad,10/05/2014,2,en,Grupo,House
Trumpets,Jason Derülo,24/05/2014,1,en,Hombre,R&B
Bailando,"Enrique Iglesias con Sean Paul, Gente de Zona y Descemer Bueno",31/05/2014,2,es,Colaboración,Reggaeton
Dare (La La La),Shakira,14/06/2014,1,en,Mujer,Pop latino
We Are One (Ole Ola),Pitbull con Jennifer Lopez y Claudia Leitte,21/06/2014,1,en,Colaboración,Rreggaeton
All of Me,John Legend,28/06/2014,1,en,Hombre,R&B
Bailando,"Enrique Iglesias con Sean Paul, Gente de Zona y Descemer Bueno",5/07/2014,1,es,Colaboración,Reggaeton
Human,Christina Perri,12/07/2014,1,en,Hombre,pop
Cola Song,Inna con J Balvin,19/07/2014,1,en,Colaboración,reggaeton
Stolen Dance,Milky Chance,26/07/2014,1,en,Hombre,folk
No Amanece,David Bisbal,2/08/2014,1,es,Hombre,Pop latino
Summer,Calvin Harris,9/08/2014,1,en,Hombre,House
Am I Wrong,Nico & Vinz,16/08/2014,2,en,Grupo,Hip Hop
Waves,Mr. Probz,30/08/2014,1,en,Hombre,Hip hop
Problem,Ariana Grande,6/09/2014,1,en,Mujer,pop
Lovers on the Sun,David Guetta,13/09/2014,1,en,Hombre,House
Wiggle,Jason Derülo,20/09/2014,1,en,Hombre,R&B
Rude,Magic!,27/09/2014,1,en,Grupo,Reggae pop
Puppeteer,Auryn,4/10/2014,1,en,Grupo,Pop
Rude,Magic!,11/10/2014,1,en,Grupo,Reggae pop
Prayer in C,Lilly Wood and the Prick con Robin Schulz,18/10/2014,1,en,Colaboración,dance
All About That Bass,Meghan Trainor,25/10/2014,2,en,Mujer,R&B
Chandelier,Sia,8/11/2014,1,en,Mujer,Electropop
Shake it Off,Taylor Swift,15/11/2014,1,en,Mujer,Pop
Chandelier,Sia,22/11/2014,1,en,Mujer,Electropop
Blame,Calvin Harris con John Newman,29/11/2014,1,en,Colaboración,House
All About That Bass,Meghan Trainor,6/12/2014,1,en,Mujer,R&B
Dangerous,David Guetta con Sam Martin,13/12/2014,2,en,Colaboración,House
Tocado y hundido,Melendi,27/12/2014,1,es,Hombre,Rumba
Stay with Me,Sam Smith,3/01/2015,1,en,Hombre,pop
People Help the People,Birdy,10/01/2015,1,en,Mujer,Folk
Tocado y hundido,Melendi,17/01/2015,1,es,Hombre,Rumba
Uptown Funk,Mark Ronson con Bruno Mars,24/01/2015,3,en,Colaboración,funk
Thinking Out Loud,Ed Sheeran,14/02/2015,2,en,Hombre,Folk
Animals,Maroon 5,28/02/2015,1,en,Grupo,pop-rock
Take Me to Church,Hozier,7/03/2015,1,en,Hombre,Folk
Love Me Like You Do,Ellie Goulding,14/03/2015,3,en,Mujer,Indie
Outside,Calvin Harris con Ellie Goulding,4/04/2015,1,en,Colaboración,House
Elastic Heart,Sia,11/04/2015,1,en,Mujer,Electropop
The Nights,Avicii,18/04/2015,1,en,Hombre,House
FourFiveSeconds,Rihanna con Kanye West y Paul McCartney,25/04/2015,1,en,Colaboración,R&B
I'm an Albatraoz,AronChupa,2/05/2015,1,en,Hombre,House
Un zombie a la intemperie,Alejandro Sanz,9/05/2015,1,es,Hombre,Pop Latino
Cheerleader,OMI con Felix Jaehn,16/05/2015,2,en,Colaboración,reggae
El perdón,Nicky Jam con Enrique Iglesias,30/05/2015,1,es,Colaboración,Reggaeton
See You Again,Wiz Khalifa con Charlie Puth,6/06/2015,1,en,Colaboración,hip hop
Lean On,DJ Snake y Major Lazer con MØ,13/06/2015,2,en,Colaboración,dance
Want to Want Me,Jason Derülo,27/06/2015,1,en,Hombre,R&B
Él no te da,Dasoul,4/07/2015,1,es,Hombre,Latino
Are You With Me?,Lost Frequencies,11/07/2015,2,en,Grupo,house
Heroes,Måns Zelmerlöw,25/07/2015,1,en,Hombre,pop
Five More Hours,Deorro con Chris Brown,1/08/2015,1,en,Colaboración,house
I Really Like You,Carly Rae Jepsen,8/08/2015,1,en,Mujer,Pop
Hey Mama,"David Guetta con Nicki Minaj, Afrojack y Bebe Rexha",15/08/2015,1,en,Colaboración,House
La gozadera,Gente de Zona con Marc Anthony,22/08/2015,1,es,Colaboración,reggaeton
Don't Worry,Madcon con Ray Dalton,29/08/2015,2,en,Colaboración,dance
Lean On,DJ Snake y Major Lazer con MØ,12/09/2015,1,en,Colaboración,dance
La gozadera,Gente de Zona con Marc Anthony,19/09/2015,1,es,Colaboración,reggaeton
"I Don't Like It, I Love It",Flo Rida con Robin Thicke y Verdine White,26/09/2015,1,en,Colaboración,Hip hop
Stole the Show,Kygo con Parson James,3/10/2015,1,en,Colaboración,house
Ain't Nobody (Loves Me Better),Felix Jaehn con Jasmine Thompson,10/10/2015,1,en,Colaboración,dance
A que no me dejas,Alejandro Sanz,17/10/2015,1,es,Hombre,Pop Latino
Vuelve,Juan Magán con Paulina Rubio y DCS,24/10/2015,1,es,Colaboración,Reggaeton
Marvin Gaye,Charlie Puth con Meghan Trainor,31/10/2015,1,en,Colaboración,R&B
What Do You Mean?,Justin Bieber,7/11/2015,1,en,Hombre,Pop
Hello,Adele,14/11/2015,3,en,Mujer,Soul
Locked Away,R. City con Adam Levine,5/12/2015,1,en,Colaboración,dance
El mismo sol (Under the Same Sun),Álvaro Soler con Jennifer Lopez,12/12/2015,1,en,Colaboración,Pop
Sorry,Justin Bieber,19/12/2015,1,en,Hombre,Pop
Ginza,J Balvin,26/12/2015,1,es,Hombre,reggaeton
Sorry,Justin Bieber,2/01/2016,1,en,Hombre,Pop
Adventure of a Lifetime,Coldplay,9/01/2016,1,en,Grupo,Pop rock
Tu enemigo,Pablo López y Juanes,16/01/2016,1,es,Colaboración,Pop latino
Sorry,Justin Bieber,23/01/2016,1,en,Hombre,Pop
Hundred miles,Yall y Gabriela Richardson,30/01/2016,1,en,Mujer,house
Stitches,Shawn Mendes,6/02/2016,1,en,Hombre,pop
Love Yourself,Justin Bieber,13/02/2016,2,en,Hombre,Pop
Light It Up,Major Lazer con Fuse ODG y NYLA,27/02/2016,1,en,Colaboración,mombathon
Work,Rihanna con Drake,5/03/2016,2,en,Colaboración,R&B
Lush Life,Zara Larsson,19/03/2016,1,en,Mujer,pop
Faded,Alan Walker con Iselin Solheim,26/03/2016,2,en,Colaboración,house
